Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
84531,98.8,0,0,51.1,1.8,48.9,25492,14868,0,998,0
84536,93.8,0,0,51,0.3,49,20069,16518,0,1821,6.2
85003,3.2,1.2,9.8,44,33.2,56,49150,38722,0,8694,78.9
85004,1.7,5.6,6.5,45.5,31.2,54.5,42528,22120,0,5944,77.4
85006,3,0.6,4.7,46.9,65.9,53.1,31203,23466,0.1,27671,49
85007,2.6,3.5,13.9,50.4,53.2,49.6,34859,25827,0.1,14810,57.4
85008,3.3,0.9,11.7,48,57,52,30321,22397,0.5,60700,52.5
85009,1.9,0.3,5.4,44.6,80.9,55.4,26983,22155,0,47810,79.1
85012,2.1,2,4.7,48.1,13,51.9,53906,45311,0,6776,88.7
85013,4.5,3.3,6.1,47.2,25,52.8,45720,37324,0,21025,71.8
85014,4.5,3.3,7.2,49.4,31.6,50.6,42725,33653,0,27410,64.9
85015,4.1,6.3,11.1,49.6,46,50.4,33602,25326,0.1,39395,67
85016,4.2,3,5.4,49.4,31.4,50.6,48439,36627,0.3,35321,74.1
85017,1.8,5,8.1,50.6,66.2,49.4,26660,19985,0,41656,69.5
85018,2,4,3.1,50.6,21.1,49.4,55391,40301,0.2,37848,78.7
85019,2.6,3.7,7.9,49.6,67.3,50.4,28522,21382,0,25994,76.5
85020,1.2,1.8,2.7,50,28.9,50,45537,36422,0.1,33296,86.9
85021,3.8,4.4,8.9,50.2,34.4,49.8,36473,27239,0.5,41310,73.6
85022,1.3,4.1,3.2,52.4,23.3,47.6,42402,31392,0.1,50242,82.3
85023,1.8,4,5.4,49.9,22.9,50.1,41417,33019,0.3,33612,78.9
85024,0.7,4.8,2.1,49.2,12.7,50.8,53331,42422,0.2,24598,87.4
85027,1.2,7.8,3.5,48.7,16.6,51.3,43645,36099,0.6,35529,79.7
85028,0.4,1.8,1.6,53.5,11.1,46.5,67603,50043,0,19563,92
85029,0.7,3.2,5.9,50.7,31.6,49.3,35664,30057,0,44745,83.3
85031,2,0.6,5.6,50.1,82.3,49.9,26128,21415,0.1,31673,63
85032,0.9,4.3,2.8,50.7,28.5,49.3,42541,31089,0.1,71603,84.2
85033,1.3,0.6,5,51,81.3,49,28337,21785,0.1,65318,59
85034,4.1,1.6,7,50.6,70.1,49.4,26091,18160,0,4480,45
85035,2.6,0.7,5.7,52.3,83.3,47.7,26639,21991,0.5,57410,50.1
85037,2,3,8.6,48.4,65.6,51.6,35256,27828,0.1,52205,57.1
85040,2.8,1.6,19.2,50.9,65.3,49.1,29981,23209,1.2,32526,51.9
85041,2.8,2.3,15.6,50.8,66.5,49.2,35175,29499,0.1,63152,62.2
85042,3.8,2.3,14.1,49.2,57.1,50.8,37432,28962,0,44676,49.2
85043,2.2,2.6,8.5,51.7,73.2,48.3,32340,26603,0.5,38125,73.6
85044,3.1,5.2,7.4,52.4,18.8,47.6,54484,44277,0.2,40893,74.6
85045,0.5,8.9,4.4,53.1,9.5,46.9,85500,54258,0.2,7467,79.5
85048,0.8,6.5,6.2,51,11.3,49,68616,51026,0,34720,80.2
85050,0.3,7.2,2.1,51,13.4,49,66377,50245,0,30506,85.6
85051,2.7,4.2,6.4,50.6,45.3,49.4,36923,26362,0,43234,76.9
85053,1.8,2.4,5.1,50.2,21.7,49.8,40251,30900,0.1,29584,82.4
85054,1.4,4.4,0.6,52,6.8,48,65196,60805,0.3,7023,90.5
85083,0.6,10.1,1.5,50.3,10.2,49.7,71578,59107,0,19363,83.8
85085,0.6,11.1,3.5,49.3,10.1,50.7,61587,51247,0,21478,79.2
85086,0.6,2.3,1.4,51.3,9.4,48.7,60657,43597,0.2,41785,92
85087,0,3.6,0.9,50,7.3,50,54123,37330,0,7976,91.8
85118,0.6,1.3,0.2,52,5.7,48,60962,38475,0,12439,96.5
85119,0.5,2.2,0.7,51.2,9.2,48.8,47818,30485,0.1,21825,94
85120,2,0.6,1.2,51.1,14.5,48.9,36175,25299,0,30621,91.2
85121,85.5,2.4,0,48.4,4.9,51.6,29449,21206,0.6,2131,8.7
85122,6.9,1.6,4.4,51,45,49,36148,26526,0.1,56298,73
85123,5.3,0.3,2.1,51,40.6,49,35716,26745,0,11106,84.7
85128,15.4,0.3,4,51,39.4,49,35610,27695,0.2,16466,71.6
85131,2.7,2.1,9.2,27.7,58.1,72.3,32422,20941,2.8,18542,72.9
85132,4.5,0.8,6.4,30,35.8,70,39675,23539,0.5,35677,83.3
85135,0,0,0,51.3,87.9,48.7,34375,21985,0,464,93.5
85137,0,3.5,0.5,44.4,44.7,55.6,50147,34904,0,2497,89.4
85138,2,4.4,10.5,50.5,25.3,49.5,48826,36633,0.1,36059,71.5
85139,6.7,3.4,6.7,51.9,30.1,48.1,40320,29573,0.3,18327,72.5
85140,2.5,1.2,4.2,48.8,21.6,51.2,45341,31796,0.2,45504,87.5
85141,0.7,1.4,0,37.5,68.4,62.5,27614,17083,0,427,75.9
85142,0.9,2.3,2.8,50.1,18.8,49.9,55655,41364,0.1,60306,87.7
85143,0.3,2.7,6.9,52.2,22.4,47.8,43322,32962,1,36764,81.2
85145,1,0.9,3.4,51.9,23.2,48.1,42468,35064,0,3016,83
85147,83.8,0.2,0.3,44.2,6.3,55.8,32389,27260,0,3811,7.2
85172,13.3,0,0,37.8,66.1,62.2,33728,30114,0,1636,67.7
85173,0.7,0.7,1,54.3,66.2,45.7,36066,28160,0,2947,90.3
85192,2.3,0.4,0,42.2,67.5,57.8,45625,21707,0,1675,94.4
85193,13.8,1.2,1.1,48.8,54.2,51.2,30793,21387,0,4408,63.8
85194,7.4,2.2,0.8,51,31.3,49,38929,27740,0.2,7188,80.9
85201,4.2,2.3,5.3,49.8,37.7,50.2,32277,24699,0.5,51817,76.2
85202,5.9,3.2,4.5,49.7,29.5,50.3,36953,29257,0.9,38780,76.6
85203,4.3,0.9,4.9,50.2,31,49.8,38553,26734,0.5,37773,82.1
85204,2.2,1.8,1.8,49.7,47.2,50.3,35018,26279,0.4,66891,80.1
85205,2,1.2,1.5,52.3,13.7,47.7,44351,31210,0.3,41686,91
85206,1,1.4,5.6,51.4,16.9,48.6,41930,30273,0.1,36379,88.3
85207,0.8,1.2,2.5,49.7,16.1,50.3,52904,37127,0,48405,90.7
85208,0.6,1.2,2.3,49.2,21.4,50.8,41347,30822,0.1,37158,91.3
85209,1.8,2.5,2.5,52.1,16.1,47.9,46199,35241,0.4,41052,87.5
85210,2.5,1.7,6.4,49.7,48.2,50.3,31616,25708,0.4,39712,76.2
85212,0.8,3.6,2.9,51.1,19,48.9,52110,39397,0.4,31494,85.8
85213,1.4,2,3.7,51.5,15.8,48.5,45634,30599,0.9,35148,87.1
85215,1,2.7,0.7,51.7,8.1,48.3,56847,43216,0.2,16270,93.3
85224,1.9,7.7,4.3,51.3,20.7,48.7,47461,37377,0.4,44000,77.4
85225,2.1,5.5,6.5,49,34.5,51,41599,31749,0.2,70587,77.5
85226,2.4,9.9,6.3,50.9,17.3,49.1,54461,45381,0.1,37781,75
85233,0.7,7.2,2.3,52,19.1,48,51420,40275,0.1,35556,81.1
85234,1.6,5.2,2.3,51.7,17.1,48.3,52801,37843,0.2,50706,85.7
85248,1.7,8.4,2,52.6,8.6,47.4,71214,46696,0,32646,82.9
85249,0.8,9.9,3.9,51.3,11.7,48.7,74799,55256,0,38586,80.7
85250,1.6,2.1,1.1,52.9,9.2,47.1,59474,45987,0,17711,91.4
85251,0.8,2.1,2.6,49.3,20,50.7,53666,41249,0,40621,85.1
85253,0.3,4.7,2,49.9,5.3,50.1,103077,64780,0.2,18509,90.1
85254,0.3,8.8,1,51.1,5,48.9,71864,49772,0.1,45973,86.5
85255,0.4,5.7,0.6,50.4,5.6,49.6,98045,65635,0,40401,90.6
85256,75.1,0.8,0.4,52.4,19.1,47.6,34153,25506,0.4,5380,14
85257,3.1,2.7,2.4,47.6,20.7,52.4,46365,34359,0.5,31609,84.1
85258,0.2,3.9,1.6,53.5,6.2,46.5,76199,54807,0,24549,91.3
85259,0.5,7.8,1.3,53.5,6.5,46.5,77566,51426,0,23043,86.5
85260,0.3,5.3,1.7,51.8,6.4,48.2,69686,50768,0,38337,89.8
85262,0.4,4,1.6,50.2,2.2,49.8,86618,59430,0,10815,92.2
85263,0.6,0,0,49.4,1.4,50.6,51348,42052,0,2531,98.7
85264,66.7,2.4,0.7,50.6,10.8,49.4,38452,29821,0,1315,21.4
85266,0.2,3.8,1.2,50.5,3.2,49.5,93071,60558,0,12519,92.1
85268,0.3,2.4,0.5,53.9,4.5,46.1,64821,42873,0,24288,95.7
85281,2.8,11.3,6.2,45,22.6,55,36085,17696,0.3,62626,65.4
85282,2.2,3.9,6.6,46.8,23.4,53.2,39693,30162,0.4,52799,71.6
85283,7.2,6.6,7.7,49.9,30.9,50.1,40741,31479,0.5,50536,60.1
85284,0.9,8.9,3,50.9,12.3,49.1,77991,53542,0.5,18592,78.5
85286,0.2,15.5,4.7,50.2,17.7,49.8,64358,47243,0,41807,73.7
85295,1.2,6,3.5,49.9,17.3,50.1,60069,44965,0.4,43525,82.4
85296,0.4,4.3,3.3,50.1,14.4,49.9,56472,44100,0.1,42506,85.9
85297,0.5,6.7,3.8,51.6,17.5,48.4,65702,48558,0.1,32890,83.2
85298,0.6,7,2.7,50.9,10.3,49.1,67543,50883,0.1,29113,85.3
85301,1.9,2.1,9.4,50.2,61.4,49.8,28750,21531,0.1,67526,76
85302,3,3.3,5.8,49.6,34.7,50.4,35858,29604,0.1,39647,77.7
85303,1.3,5.8,8.5,51.7,52.7,48.3,35965,27994,0.6,31835,69.3
85304,1.7,6.1,2.9,52.8,21.9,47.2,42191,31146,0,27365,80.1
85305,1.9,7,8.3,48.2,34.8,51.8,44943,36740,0.1,12073,72.9
85306,1,2.3,2.9,51.8,17,48.2,42440,31215,0.5,24503,87.4
85307,0.3,6.6,11.2,50.4,33.4,49.6,38061,30325,0.1,9376,64.8
85308,0.7,5.1,2.3,51.5,14.1,48.5,51693,38956,0.2,66295,85.9
85310,0.7,3.7,1.3,50.2,10.8,49.8,58345,45826,0,19252,90
85321,33,2,0,49.7,34.2,50.3,35429,20440,0,4776,57.3
85322,3.1,0.9,0.1,45.4,34.2,54.6,35870,24167,0,764,94.2
85323,1.6,2,10.8,50.6,60.7,49.4,35727,28899,0.2,42225,72.4
85324,0.6,0,0,48.5,8.4,51.5,30350,20327,0,2892,98.3
85325,0,0.5,0,47.1,0,52.9,50074,22375,0,1087,99.5
85326,1.9,1.1,8,45.8,41.1,54.2,37603,30212,0.2,58276,76.1
85331,0.4,2.3,0.5,52.3,5.9,47.7,71311,51115,0,29264,93.1
85332,2.5,0,0,47.9,7.3,52.1,31600,26354,0,1548,96.1
85333,0.7,0,0,39.9,56.9,60.1,30938,24327,0,594,63.8
85334,0,1.1,0,44.2,35.3,55.8,40813,26293,0,844,91.9
85335,1.2,1.6,8.7,50.2,47.2,49.8,37639,30959,0.2,34400,76.1
85336,0,0,0,59.6,100,40.4,25333,18333,0,502,67.5
85337,16.6,0.7,2.5,49.4,59.1,50.6,30032,27250,0.7,2611,71.1
85338,1.1,3.2,9.6,50.9,33.7,49.1,42289,35447,0.2,47588,75.2
85339,7.4,6.2,17.8,51.2,40.4,48.8,46000,36308,0.4,45040,49.8
85340,2,4.7,7.3,50.8,24.4,49.2,51422,41095,0.1,32436,79
85342,0,1.8,0,52.7,4.4,47.3,42381,30815,0,1284,94.1
85344,23.9,0.5,1.7,48.9,33.7,51.1,32370,22793,0.4,10537,60.8
85345,0.7,3,4.5,50.9,35.7,49.1,40077,30443,0.3,56473,80.3
85347,1.8,0,0,59.8,80,40.2,35194,23725,1,938,35.2
85349,0.1,0,0.1,49,99.2,51,26948,16132,0,29972,75.5
85350,3.4,0.6,1.7,44.7,86.7,55.3,28615,21342,0,22691,78.7
85351,0.2,0.9,1.8,58.7,3.2,41.3,40625,20414,0,28855,95.9
85353,1.7,1.1,7.8,51.7,72.1,48.3,37210,31253,0.7,39400,76.3
85354,2.1,0.1,0.5,46.7,30.6,53.3,38892,30325,0,7008,92.7
85355,0.1,2.1,5.4,53.7,18.1,46.3,52035,40032,0.2,11369,86.3
85356,0.6,0.9,0,50.2,43,49.8,37115,27265,0,4997,66.1
85361,0,1.8,0.6,49.3,5.1,50.7,42222,30354,0,5777,94.8
85362,0,0,1.2,57.7,6,42.3,25938,14000,0.7,669,94.3
85363,0.5,0.7,4.5,50.5,29.6,49.5,37289,26283,0.3,6625,83.1
85364,1.4,1.6,2.8,49.6,66.9,50.4,35539,23858,0.1,74299,69.6
85365,0.9,2,3.3,47.9,43.4,52.1,40715,29296,0.1,48973,70.2
85367,1.6,1.6,0.7,49.8,20,50.2,48736,34829,0.1,21018,86.7
85373,0.1,2.2,3.7,54.2,6.5,45.8,49947,35374,0,18714,91.5
85374,0.5,1.2,4.5,54,17.5,46,42762,31883,0.2,46395,89.5
85375,0.2,1.3,1.2,54.2,0.8,45.8,51493,25050,0,28133,96.5
85379,0.6,2.9,7,51.3,20.8,48.7,45967,37519,0.2,46320,81.1
85381,1,3.7,3.3,52.7,13.1,47.3,46876,37378,0.2,24968,86
85382,0.5,4.7,2.1,53.8,10.3,46.2,53482,40463,0.3,40626,87.7
85383,1,4.7,2.4,51.1,9.7,48.9,69160,51097,0.1,46118,86.7
85387,0,1.2,3.8,50.6,17.6,49.4,47126,36698,0,10829,89.8
85388,0.2,3,7.3,51.3,18.7,48.7,47690,38979,0.1,28442,80.5
85390,2.1,0.1,0.2,55.2,15.4,44.8,38525,22187,0.1,8924,95.6
85392,1.5,5,10.7,51.2,39.3,48.8,41493,33754,0.2,37710,70.7
85395,1.8,7.2,7.1,56.7,18.6,43.3,56093,42220,0.4,28364,75.8
85396,0.5,2.4,4.7,49.4,22,50.6,55960,42166,0.2,17759,86.1
85501,2.7,0.9,1.1,48.9,35.4,51.1,43023,24911,0,12657,89.3
85530,92.5,0,0,52.6,7.8,47.4,28200,19167,0,1942,2.9
85533,4,0.2,2.3,45.1,57.4,54.9,43281,31940,0,3141,90.2
