Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76446,0.6,35.2,91,8105,63900,128700,150000
76448,0.6,16.8,91.6,5224,101000,176000,170950
76449,0.4,9.6,93.9,2427,49000,53000,45300
76450,0.6,17.4,94.7,12885,149550,214000,215800
76453,0,3.7,96.3,1357,20000,27350,13000
76454,0,28.1,96.9,1560,14000,8000,5000
76457,0.2,19.8,95.2,4102,46000,83000,50350
76458,0.1,20.6,89.6,5913,66000,100500,88600
76470,0.2,21.4,93.1,3820,20100,28000,39200
76471,0.6,7.2,95.6,2275,10000,5000,10000
76472,0,6.5,98.4,1507,41250,72350,73000
76475,0,29.5,96.9,909,3000,3000,3000
76476,0.3,7.4,98.7,2718,31000,40000,48000
76483,0.5,19.2,98.3,972,23000,25500,16000
76486,0.3,6.3,93.2,1040,10000,18550,22650
76487,0,12.1,96.6,2704,27600,23600,16000
76501,0.2,30.7,76.1,17571,177200,256150,225750
76502,2.5,20,80.1,38571,432000,784750,776650
76504,1.6,31,71.2,23368,298800,436050,528100
76511,0,36.5,75.1,2869,18000,33000,32800
76513,1.6,24.9,85.1,38124,513200,792650,837700
76520,0.1,23.1,80.8,8124,76000,156900,140700
76522,2.2,16.4,69.6,36581,355100,594650,679350
76527,0,27.9,95.9,3886,48000,88000,106550
76528,0.4,14.7,88.9,16708,221450,512750,383350
76530,0,20.2,94,2190,62000,116150,185000
76531,0.2,8.2,95.6,4632,69000,76450,63400
76534,0,20.9,91.6,2927,17000,33600,26000
76537,0.5,32.4,90.6,4921,310000,311100,157850
76539,1.2,11.2,84.8,8530,14000,42000,40000
76541,2.7,30,55.1,18447,183250,340600,320800
76542,4.2,25.2,46.7,50324,510050,866450,936100
76543,3,22.7,42.7,29256,200150,303350,292950
76548,4.5,20,67.7,29595,281050,447200,538900
76549,4.9,24,42.5,48970,353950,568600,556700
76550,1.6,21.6,91.1,12517,172350,184700,281250
76554,1.1,30.8,92.2,2285,28850,49000,50500
76556,0,3,93.8,1281,5000,11000,8650
76557,1.3,19.2,90,4783,11000,12000,22000
76559,1.6,23.4,76.2,5534,30000,66000,119950
76567,0.7,33.5,81.6,9098,68000,82150,89800
76569,0,21.7,90.6,2250,27000,32000,54200
76570,0,24.8,86.2,2909,16700,14200,16250
76571,0.9,11.2,95.8,7200,62000,62000,56000
76574,0.6,40.3,79.3,18939,292700,490950,633950
76577,0,15.4,94.4,3311,41000,47000,64000
76578,0,29.4,87.8,1422,22000,23000,32000
76579,0,14.7,97.3,4672,15000,40000,63000
76621,0,5.3,97.2,907,16000,13000,13000
76627,0,7.1,95.1,1612,22000,25300,15000
76629,0.6,5.2,80,1686,51000,51000,21350
76633,0,8.4,92.4,5346,26000,37750,64000
76634,0.4,11.5,92.8,7068,149500,281850,275000
76635,0,45.2,72.2,1219,17950,38850,60250
76636,0.5,5.6,95.3,1330,8000,4000,12000
76637,0,21.1,93.8,629,5000,5600,11000
76638,0,8.9,92.4,3081,7000,4000,16000
76639,0,14.1,91.4,1341,13000,13000,14850
76640,0.9,7.4,94.2,2816,6000,13000,17000
76642,1.3,13.5,83.3,7025,65300,94450,81150
76643,2.4,17.9,88.9,14253,119650,265900,279700
76645,0.6,34.4,79.8,10477,212500,323450,328700
76648,0,7,89.3,2762,43000,57500,37000
76649,0,10.8,98.3,701,1000,15000,13000
76651,0,22.2,82.7,3232,87000,121450,124000
76653,0.3,16.4,90,902,53000,37000,34000
76655,0.1,9.3,90.9,8530,44000,82000,54000
76656,0.2,13.3,88.5,2440,24000,38350,26550
76657,1.8,24.4,88.8,9663,155000,217200,173400
76661,0.3,25.9,54.4,8108,108800,149850,150750
76664,0,13.5,73.2,3494,18000,25650,25250
76665,1.3,21.1,94.9,2399,36000,54750,79900
76667,0.5,24.9,66.3,11261,75500,157800,161150
76670,0,29.7,81.7,1524,2950,3000,1450
76671,0,18.8,96.3,1792,36000,71650,14100
76673,0,44,90.4,1620,249000,257000,135000
76678,0,19.1,100,362,29000,34000,38000
76681,3.6,24.7,91.9,676,3000,4000,6850
76682,0,18.5,89.8,2702,32000,43000,63000
76687,0.2,9.5,94.5,1934,1000,1000,3000
76689,0,16.4,96.5,3715,2000,15000,20000
76690,0,39.3,91.5,984,28000,57000,71000
76691,0.1,9.1,95.8,6524,60000,140700,141000
76692,0.2,12.1,91.4,10577,85250,130200,136300
76693,0,9.6,77.3,1604,4000,9000,10000
76701,1.2,23.5,77.2,1906,28000,97150,83350
76704,0,15.8,23.4,7825,34000,37550,29350
76705,0.8,28.8,74.7,30546,487000,900950,1166150
76706,3,27.2,74,36680,316850,715900,687750
76707,0.5,49.5,60.3,16256,44000,72550,66400
76708,2.1,35.7,77.9,27160,138750,263700,414200
76710,1.1,23.9,72.8,24415,404850,600800,638000
76711,1.1,62.8,75.2,9671,140050,185950,186600
76712,2.8,13.8,83.7,25350,323550,409450,463800
76801,0.9,25.4,90.6,24918,489650,694200,796550
76802,0.3,12.9,93.1,5010,120000,185050,189000
76821,0.2,30.6,88.4,4595,87000,139250,76000
76823,0,19.5,91.7,3348,55000,53300,41000
76825,0,33.1,84.7,6891,69300,170800,183000
76834,1.2,20.1,92.9,5349,132100,210750,238000
76837,1.3,66.7,96.4,2901,24000,35000,31000
76844,0.1,20.3,97.8,3719,15000,40000,72000
76849,0,26.6,89.5,3884,127800,274250,312300
76853,0.6,28.1,96.1,1575,17000,10000,11000
76856,2.6,24,86.3,3684,26000,23000,20000
76859,0,40.3,79.8,1967,37000,44000,36000
76861,0,30.4,97.1,1992,6000,17100,9450
76875,0,15.4,93.5,551,20900,8000,12000
76877,0,37.9,84.9,4187,55000,80000,80700
76878,0.3,16.3,86.8,1920,22000,33000,37150
76901,1.3,35.5,85.5,29879,306300,451350,503800
76903,0.5,58.7,82.7,32103,418800,656900,766550
76904,1.3,26,85.4,34828,266000,443500,687000
76905,2,44.1,86.3,13129,24000,49650,87800
76932,0,70,46.6,3744,177000,309150,371000
76933,0.4,28.2,83.9,1344,15600,31350,31000
76935,2.3,8.4,93.3,1736,6000,11000,16000
76936,0.1,51.8,63.7,3122,23000,36000,63000
76941,0,25.5,80.4,1430,63250,121450,95000
76943,0,68.7,38,3693,42000,69700,127000
76945,0,17.2,93.9,1647,29000,22000,46000
76950,0,59.4,69.5,3915,67000,105200,180000
76951,0,40.8,91.6,1139,36000,55050,40000
77002,1.9,26.5,57.1,12370,280400,338750,259900
77003,5.3,50.1,57.6,9646,344000,404100,236850
77004,9,14.3,38.5,37642,42000,78600,76850
77005,12.6,8.8,79.1,28233,87000,114000,118000
77006,7.1,14.2,81.1,21945,97000,92000,106100
77007,7.8,21.8,76,35822,265000,360500,451400
77008,5.8,27.9,83.5,34491,242000,374000,380300
77009,1.1,64.5,85.3,37751,156700,249200,239650
77010,8.7,2.6,84.3,915,17000,13550,10250
77011,0.6,94.3,89.5,18598,60050,107150,95250
77012,1.1,94.1,71,20085,110000,216850,180050
77013,0.5,70.5,64.3,20790,68000,210550,232500
77014,9.4,39.3,31.1,35729,62000,82000,102750
77015,1.1,66.7,69.7,57258,427900,771050,810250
77016,0.1,31.2,27.6,29597,62000,107650,95250
77017,2.5,86,70.9,32556,123000,221750,219150
77018,2,36.2,81.9,28073,231050,490050,335600
77019,9.4,11.9,78.2,21572,125000,152750,191450
77020,0.3,73.4,67.9,25898,99000,173550,216600
77021,3,13.8,19.9,26654,105150,165100,126050
77022,0.3,74.8,72.3,27364,177000,301850,258400
77023,0.9,85.9,87.7,28528,177000,260600,157050
77024,14.7,10.6,80.4,38110,140000,211150,277450
77025,17.2,18.3,61.4,28922,172800,229250,211100
77026,0,44.2,42.8,22799,50450,81650,76250
77027,8.8,15.4,82.2,16012,214000,293500,295850
77028,0,26,23.4,15725,112650,144300,155100
77029,0.2,73,72.9,17894,184000,372450,283850
77030,26.9,9.2,61.4,10813,32000,63000,41000
77031,7.8,46.8,40.4,18052,113000,173600,246750
77032,1.3,49.6,45.2,14443,147750,211600,254600
77033,0.2,26.6,20.9,29692,38000,70800,58150
77034,4.9,73.1,76.1,40183,281450,382050,251450
77035,5.7,40.4,49.1,38324,308000,457750,508400
77036,15.3,61.8,49.1,76605,182100,278450,224200
77037,0.2,90.9,93.3,20038,223000,327150,278000
77038,6.2,72.8,68.2,30653,126700,204000,325900
77039,0.6,85.9,86,27972,93250,195200,167950
77040,6.8,50.8,64.7,48273,311000,420200,494000
77041,16.6,44.4,60.4,35372,218650,325950,411550
77042,8.5,26.7,54.8,42098,218000,348750,397550
77043,8.2,46,76.6,25838,213000,203050,191150
77044,1.8,45,64,42665,130000,262450,385650
77045,0.6,53.6,47.9,36270,118550,228450,230200
77046,10.4,7.2,81.8,1029,44000,42000,51000
77047,2.3,27.5,28.4,29410,261600,382250,381150
77048,1,25.3,25.5,17143,34950,82300,150250
77049,3.8,63.7,64.3,33749,215000,386800,471250
77050,0.1,58.9,46.6,5031,13000,37700,47400
77051,0.7,10.3,8.2,16661,98150,146400,105950
77053,0.4,55.6,41,31868,143000,222750,265000
77054,24.1,8.3,35.4,22517,156000,193850,210400
77055,4.5,57.6,52.5,45003,279700,505050,471950
77056,16,14.1,74.7,21732,122900,212000,210000
77057,7.2,38.1,74,40130,298000,619600,526650
77058,6.3,24.4,78.5,16669,223000,372900,441550
77059,16.9,13.8,76,17374,82000,138000,135000
77060,1.4,74.3,73.3,44549,72000,150850,190050
77061,6.1,65.2,50.5,26276,108000,263050,268500
77062,11.7,21,72.7,26583,90000,156800,186700
77063,10.6,33.2,64.1,38931,177700,408000,515600
77064,16.7,39.8,59.8,49578,130800,228850,259350
77065,8.9,27.3,62.2,38820,557400,694400,652250
77066,15.3,39.9,51.3,33796,92000,158550,156800
77067,5.2,47.2,41,33489,156200,212000,215000
77068,12.2,32.5,53.3,10897,99000,88300,89350
77069,5.1,12.3,66.2,18238,207600,421150,314150
77070,9.7,25.1,68.8,51080,586200,783900,764300
77071,7.1,26.7,29.2,27981,82000,190850,213400
77072,21.9,51.4,36.8,62162,252650,404150,553650
77073,2.8,50.4,40.4,42780,112000,228100,229750
77074,5.8,59.5,74.6,39915,107000,242750,259800
77075,6.7,63.9,53.8,43586,232650,398250,324250
77076,0.3,87.3,85.2,35144,147600,241400,242100
77077,13.2,23.4,61.2,57757,325100,552150,545400
77078,0,35.3,32.5,15820,9150,22000,22000
77079,9.8,15.2,73.7,33577,181350,285900,314850
77080,3.4,69.4,46.3,45665,198000,421100,411100
77081,5.6,70.7,75.1,49059,183900,342400,382850
77082,13.6,29.2,42.9,56641,338000,420100,460500
77083,25.4,34.9,34.1,79408,220300,404350,413500
77084,10.5,42.9,57.6,104582,520600,811500,1042700
77085,1.9,58.5,52.1,17981,36000,63600,58600
77086,7.5,61.4,58.8,29506,143000,334600,351200
77087,0.8,79.9,77.6,37200,162400,408850,311950
77088,4.1,48.9,44.6,56716,132150,192750,211800
77089,13.1,47.4,56.6,52699,262000,401100,437700
77090,2.4,31.6,35.9,38361,159250,289800,232050
77091,0.5,36.7,43,25277,177600,233700,186250
77092,1.2,66.3,55.5,38476,256150,361900,334250
77093,0.2,82.6,79.3,44428,262000,547000,520250
77094,17.7,10.3,77.1,9439,43000,74000,117000
77095,12.3,23.6,65.3,72081,401600,711450,833700
77096,10.1,22.5,51.1,35465,165000,276000,252600
77098,11.1,8.8,80.7,13444,93000,114850,123000
77099,13.2,48.5,37.5,51905,180900,277750,305700
77301,0.4,53.3,84.1,31801,273400,406600,449400
77302,2.2,25.3,91,19311,80000,125750,186050
77303,0.6,26,89,19695,234550,426650,397050
77304,3.1,17.1,86,28692,251850,397050,484300
77306,0.6,41.3,91.7,11453,128000,212050,240000
77316,0.7,14.3,90.7,21272,20000,58000,81950
77318,1.1,11.6,92.3,15437,155000,306550,452600
77320,0.7,21.6,73.5,35670,121000,220250,280000
77327,0.1,23.3,82.3,22430,162000,191600,210150
77328,0.3,20.8,91.6,15863,133350,234200,213600
77331,0,9.8,83,7667,29000,47000,60000
77335,0,28.4,81.9,2519,20000,15550,18000
77336,0.1,13.7,93.5,12397,222000,358700,433100
77338,3,39.6,45.7,40335,524750,1008700,884300
77339,4.4,17.3,86.4,41403,334050,647850,529950
77340,2,15.1,73.1,29900,229000,357550,367650
77345,4.6,10.1,91,29090,93000,156600,221700
77346,3.1,24.9,72,63233,447400,717700,857650
77351,0.8,13.5,84.7,33199,461450,613600,647600
77354,1.9,20.8,86.9,35904,359650,481200,648200
77355,0.3,16.5,91.2,27271,336750,533850,479350
77356,1.1,6.1,91,25888,222600,449250,527250
77357,0.4,45.2,84.4,24334,223850,509700,527150
77358,0.3,5.4,74.7,5597,59050,76650,136100
77360,0.1,4.2,95.3,5084,36150,52400,52750
77362,0,21.9,92.3,5546,165250,301200,367650
77363,0,9.1,87.2,2705,68000,69000,76550
77364,0,23.2,88.1,1822,20150,30150,39000
77365,2,31.5,84.7,31406,249500,435400,357200
77371,0,13.5,87.9,8025,52000,90650,80100
77372,0.8,22.5,88.3,12351,78000,97200,115950
77373,2.9,30.2,60.6,58255,255600,390250,355000
77375,5.3,30,73.9,50525,568700,926150,814050
77377,7.1,22.6,80.6,36758,417500,555100,604550
77378,0.7,36.6,85.1,16150,111000,178700,353450
77379,11.1,17.2,72.8,78226,675250,1173050,993950
77380,4.5,20.1,82,26691,350000,429450,444650
77381,4.4,11.6,88.3,36919,132800,162500,146850
77382,5.7,19.8,88.1,40546,91000,145700,173000
77384,6.8,11.9,85.5,16472,317000,513250,567350
77385,5.1,26.8,79.9,23578,228750,326100,392000
77386,4.4,18.1,79.3,53042,306450,385700,349350
77388,8.4,22.5,73.1,45841,361700,690050,580350
77389,4.2,25.9,84.1,31883,89000,109800,130100
77396,3.4,41.3,49.5,54352,291650,423100,448200
77401,22.5,9,72.4,19062,95550,148350,126800
77406,5.5,23.4,79.1,41008,144000,372500,407000
77407,28.1,15.3,42.4,48157,179000,312250,321550
77414,0.5,42.5,71.8,23369,888100,1121450,1218150
77417,0,45.1,66.3,2760,48000,100000,81750
77418,0,13.9,84.8,9926,185000,246800,201700
77419,0,54.9,88.3,1473,48000,47500,25000
77420,0,41.4,81.2,2245,91700,97650,99000
77422,0.7,19.8,81,13378,164000,248350,244450
77423,1,38.7,65.7,11551,204000,274950,297800
77426,0,20.9,70,2350,36900,42050,42000
77429,8.9,18.7,78.9,86399,675500,1075450,1065700
77430,0,15,95.1,2051,15000,18000,21000
77433,9.9,28.6,67.4,75008,381050,612350,695500
77434,0,47.8,45.6,4781,56000,99400,170200
77435,0,29.6,96.4,4303,72000,156000,112000
77437,0.1,50.7,87.5,16875,337950,468050,696000
77441,9.7,13.3,77.8,9919,183000,117000,178000
77442,0,37.2,86.7,922,10000,33800,50000
77445,0.4,30.1,54.1,13301,185250,406650,384700
77447,2.2,31.4,80.3,15246,88800,129800,191600
77449,5.6,46.6,60.3,119204,454900,565900,699250
77450,13.3,22.9,74.8,74631,380300,464500,532600
77455,0,24.1,92.9,2026,24150,38000,65000
77459,23.2,11.4,45.9,66175,500000,689450,844050
77461,0.7,36.9,89.5,10752,92200,179300,174650
77465,8.5,41.4,75.3,7269,81000,115650,91750
77466,0,52.7,89.8,353,11000,10800,19000
77469,9.7,37,63.1,46934,240950,570300,637300
77471,1.6,60.9,74.5,38837,637600,1168000,1567150
77474,0.1,35.1,75.7,12993,206000,362650,451900
77477,22.7,26.8,37.4,36932,350000,465450,399700
77478,33.3,9.6,55.4,25846,307000,458250,578850
77479,42.2,8.7,47,88603,221000,370150,413350
77480,0,13.1,83.8,7661,168000,211600,221400
77482,0.1,22.4,88.1,2274,79000,94900,161000
77484,1.2,33.9,86.3,10710,163350,276900,340550
77485,0.7,34.1,80.5,4691,55200,63450,72000
77486,0.1,21.2,76.5,7082,299000,291950,442950
77488,0.1,33.1,70.9,14738,171350,238950,232750
77489,3,19.5,13.9,36786,239000,411700,382600
77493,3.9,32.9,77.1,29984,196200,236300,324900
77494,18.1,21,68.4,105854,483000,782450,922800
77498,28.9,24.2,43.1,51037,221100,499850,521200
77502,1,79.7,86.7,39040,105000,193600,314600
77503,0.4,65.8,87.9,26171,268000,417800,535400
77504,2.9,61.2,82.7,23327,171850,307550,306900
77505,3,41.7,85.9,24230,320450,584950,642900
77506,0.5,86.9,83.9,37736,274550,316150,341700
77510,0.2,14.3,96.2,14608,119000,202950,200200
77511,1.1,38.6,93.9,46121,469150,751900,806950
77514,5.7,26.5,78.8,4443,64000,170950,144000
77515,0.7,30.6,77.1,31627,419000,609350,689200
77517,0,16,97.1,5688,82000,68400,52300
77518,2.7,41.8,83.5,10984,121000,182600,240700
77520,0.8,52.7,67,36694,486200,767750,764750
77521,3.6,39.8,72.3,57125,769400,1263750,1608250
77523,1.1,24.8,87.6,21366,447000,678900,1012050
77530,0.2,64,77.4,31119,198000,369700,364350
77531,0.3,48,83,16078,485000,649850,708000
77532,1,26,77.8,28320,341000,445000,429350
77534,0.6,23,96.2,2426,27000,34000,78450
77535,0.9,22.8,81.6,32904,302000,463700,590000
77536,1.7,31.9,89.8,32392,539950,902150,1042200
77538,0,26.4,84.2,906,2000,65350,50950
77539,4,27.9,77.5,42607,375000,769250,697900
77541,0.5,52.3,79.7,18525,298000,633950,937100
77545,1.9,33.4,15.9,25036,59000,124800,123650
77546,8.4,16.8,81.9,52261,316050,529600,729800
77547,0,86.2,78.6,10077,29000,68050,79500
77550,4,26.1,65.4,22070,139400,273850,152650
77551,2.2,35.2,73.1,21203,258000,359350,383700
77554,3.2,15,90.3,8249,165700,233050,296400
77562,0.3,37,90.9,10665,66300,151300,133600
77563,0.3,28.3,76.3,10067,106000,148500,142450
77565,2.6,11.4,89.7,7233,114000,167850,144150
77566,2.8,27.8,83.5,29441,360500,638650,724000
77568,2.3,28.2,59.2,15640,111850,155200,180200
77571,1.2,32.4,82.5,37374,757900,1258850,1161700
77573,5.3,19,81.3,85108,663350,976150,998650
77575,0.4,16.6,76.5,17005,140000,305100,260750
77578,10.4,21.8,65.5,18636,145000,258300,355000
77581,6.4,27.3,78.6,47625,659550,1016900,879400
77583,4.4,42.3,61.1,35308,61800,142900,107250
77584,17.1,19.5,53.8,87121,542850,978700,974000
77586,2.3,15.9,89.7,22182,290000,465150,297400
77587,1,89.8,71.6,16901,145700,324250,264350
77590,0.4,36.7,75.3,31084,510750,683750,597350
77591,1,15.7,43.5,14073,31500,71250,56550
77597,0,2.7,75.4,1210,25000,34000,35850
77598,7.6,33.1,67.5,24689,204950,443900,501850
77611,0.5,2.1,95,8325,144000,312200,269950
77612,0,2.9,95.5,9134,59000,115000,164750
77613,0,7.1,78.1,1048,30000,28000,21000
77619,2.2,26,90.3,15775,344000,612150,560050
77622,0,11.7,100,1464,7650,11000,13000
77625,0.6,6.5,89.9,9691,95000,151450,86350
77627,2.8,15.2,92.6,21198,348350,685550,846550
77629,0,34.4,90.7,634,4600,14400,19000
77630,0.8,10,75.6,28740,301400,510150,611650
77632,2.5,3.5,90.5,23475,186000,340650,463000
77640,2.8,12.6,31.2,15964,246000,541350,484250
77642,8.1,39.3,57.1,38845,188600,458150,348200
77650,0,22.2,100,1611,21000,39100,36450
77651,4.7,12.7,87.7,12840,134200,303150,321000
77656,0.9,6.4,83.5,16362,238000,410900,458300
77657,0.1,4.7,98.4,21427,156000,319350,323350
77659,0.9,5.3,89.2,4722,69000,153700,181400
77660,0,0,99,1182,24000,28050,49000
77662,0.4,8.2,97.4,26394,368300,520250,580550
77665,0.3,13.4,88.1,6252,190200,247550,247350
77701,2.4,26.6,39,13216,268450,473850,376550
77702,1.6,25.2,55.7,3091,23000,50000,46000
77703,0.1,19,25.8,14288,137000,237650,186700
77705,2.2,17.5,49.5,40819,524300,922300,835400
77706,6,8.7,64.9,29249,372000,655650,565000
77707,3.1,18,58.3,17954,399800,733700,722700
77708,0.9,8.4,29,12288,101000,270050,202750
77713,3,13,60.9,14402,260000,350000,352150
77801,6.1,40.5,60.6,16759,162000,226000,170900
77802,3.1,22.3,81.8,26185,479550,733950,683500
77803,0.1,58,57.3,30609,464550,766050,1033400
77807,0.7,35,74.7,10288,132150,240100,271600
77808,0.1,21,85.2,10849,121000,243100,222000
77830,0,13.4,85.3,2830,56000,46850,95850
77831,0,6.3,88.7,3115,4000,32000,15000
77833,2.1,17.7,80,29060,986500,1208800,1113000
77836,0.5,20.7,80.2,12022,168050,249600,357100
77840,10.6,18.1,74.4,59673,128000,245750,210500
77845,7.8,11.1,83.3,59512,519800,667050,804050
77853,8,23.6,61.6,1287,10000,9100,19500
77856,0.7,5.1,87.5,5037,45000,57000,95000
77859,0,36,73,7393,144950,214400,323800
77864,1.8,20.5,78.5,6935,74000,117450,123000
77865,2.8,11.3,95.2,1778,80700,104500,66750
77868,0.1,31.3,69.5,17027,269000,501200,717700
77871,0,10.2,93.5,2568,27000,34000,65000
77872,0,10.3,98.5,1577,46000,73150,80900
77879,0,19.2,76.2,5251,19000,23000,32000
77901,0.9,62.9,84.2,43424,482950,735600,804750
77904,2.1,28.7,89,27570,531650,745100,689350
77905,0,27.4,91.8,14326,170000,249800,217700
77951,0,74.9,88.4,2059,13000,1000,12000
77954,0,34.5,66,12256,248850,377450,443100
77957,0.4,30.3,83.4,8494,319000,199000,314100
77962,0.3,37.4,89.1,3178,71000,138700,160500
77963,0.2,38.4,70.8,5991,115000,146450,109300
77964,0.4,10.5,84.2,8269,192750,245600,233550
77968,0,17.4,98.7,3054,13000,25000,14950
77975,1.9,20.1,81.3,1942,26000,46900,32000
77977,0,90.4,93.3,747,8000,16000,21600
77978,0.9,42.1,86,774,58000,66000,107000
77979,5.9,52.9,85.4,17526,376150,590050,895550
77983,2.8,26.3,92.2,2351,45000,55000,45000
77984,0.1,6.6,88.3,3954,125000,218800,213800
77990,0.6,45.7,91,864,27000,51750,38000
77995,0,36.9,60.4,9847,185000,254900,302300
78002,0,72.3,91.1,7904,19000,35000,124000
78003,0.2,20,93.7,8958,171000,252300,283600
78006,0.4,20.6,92.7,31709,495000,799700,972750
78009,0.5,49.6,93.7,8910,140000,204750,210900
78010,0.8,33.7,74.1,3401,27000,66000,44700
78011,0,66,92.2,2030,58000,123350,96650
78013,0.3,43.6,88.3,6574,139000,260500,292000
78014,0.2,84.4,70.4,5616,129000,223350,300300
78015,1.6,21.6,86.3,13897,17000,13000,14850
78016,0,51.1,91.3,8895,170250,227700,239350
78017,0.6,69.6,71.6,5514,79850,104850,118400
78019,0,85,90.2,1505,44000,52000,44150
78022,0,41.5,96.4,4286,148250,232950,275000
78023,6.7,39.4,81.9,29872,185000,271000,293000
78025,0.2,21.3,94.9,4523,97000,129650,172000
78026,1.6,58.2,94.7,6094,65000,117150,130700
78028,1,25.5,91.3,39626,687000,1079600,1381000
78039,0,51.2,93.9,1528,15000,31800,53000
78040,0.2,98.2,95.5,42324,254700,215550,217400
78041,0.9,94.3,94.7,46671,512000,744050,740850
78043,0.5,97,96.2,44762,247000,307200,248500
78045,1,91.3,95,64705,318000,423900,462100
78046,0,97.8,94.7,69471,92000,100550,88000
78052,0,61.9,96.7,6838,86000,166000,172900
78055,0,11.8,93.2,1945,12000,10000,15000
78059,0.9,62.8,94.4,6131,31000,55200,37750
78061,0.7,82.7,70.5,12595,111000,183450,272850
78063,0.3,18.1,90.6,9936,28200,27000,17900
78064,0.4,50.1,90,15966,384000,632250,762300
78065,0.2,78.3,95,10181,46100,85850,93850
78069,0,81.2,85,5874,49000,56000,50000
78070,0,21.9,94.5,15559,175100,272050,400000
78071,1.7,45.6,85.5,4510,109000,118550,161450
78072,0,50.2,95.8,404,55000,72000,67350
