Zip Code,Total population
75001,14617
75002,69688
75006,50788
75007,53744
75009,10557
75010,27822
75013,38975
75019,41947
75020,21891
75021,8704
75022,24625
75023,49563
75024,42405
75025,53559
75028,47056
75032,31399
75034,95996
75035,65264
75038,29762
75039,18010
75040,62277
75041,33304
75042,39559
75043,59951
75044,40942
75048,24203
75050,42670
75051,40962
75052,94133
75056,57115
75057,14562
75058,2697
75060,47922
75061,54907
75062,48553
75063,38383
75065,12457
75067,66896
75068,55848
75069,36879
75070,93299
75071,49846
75074,48977
75075,35933
75076,7244
75077,36181
75078,20611
75080,50247
75081,37960
75082,23733
75087,33110
75088,25842
75089,33117
75090,23936
75092,24312
75093,48021
75094,23097
75098,54534
75101,710
75103,13967
75104,48568
75109,4096
75110,28847
75114,5930
75115,52377
75116,19996
75117,4007
75119,27514
75124,4229
75125,6236
75126,42409
75132,1864
75134,22106
75135,7113
75137,19640
75140,6752
75141,5815
75142,18702
75143,14138
75144,3377
75146,19071
75147,6736
75148,5774
75149,55797
75150,62297
75152,4694
75154,40225
75155,2946
75156,15720
75158,3793
75159,19440
75160,25315
75161,6577
75165,42048
75166,4057
75167,10616
75169,12779
75172,4109
75173,4166
75180,24112
75181,27588
75189,25560
75201,15185
75202,2029
75203,16351
75204,30370
75205,24211
75206,38762
75207,8028
75208,29448
75209,13898
75210,8243
75211,77600
75212,26120
75214,34145
75215,15664
75216,52895
75217,85249
75218,22264
75219,23277
75220,42642
75223,14351
75224,36468
75225,21568
75226,4790
75227,57806
75228,74605
75229,32390
75230,27521
75231,40464
75232,30714
75233,16318
75234,32589
75235,18794
75236,18542
75237,20295
75238,33009
75240,27875
75241,29398
75243,67445
75244,13613
75246,2276
75248,35464
75249,16100
75251,2368
75252,26493
75253,22721
75254,26602
75287,53903
75401,18830
75402,16931
75407,16367
75409,14010
75414,3184
75418,14318
75422,2946
75423,2749
75424,3765
75426,4953
75428,10802
75432,3519
75433,2752
75435,1374
75440,6201
75442,9848
75446,3553
75449,1484
75452,4306
75453,3102
75454,8807
75455,28560
75457,6131
75459,5207
75460,22226
75462,11691
75472,3931
75473,3879
75474,15047
75479,1859
75482,24802
75489,1061
75490,2399
75491,5646
75494,9931
75495,7797
75496,3436
75497,3585
75501,35692
75503,25916
75550,838
75551,10867
75554,1805
75556,1044
75559,5316
75560,715
75561,5108
75563,4410
75567,5191
75568,2271
75569,3229
75570,10969
75571,3189
75572,4285
75601,16310
75602,22112
75603,5913
75604,30565
75605,30721
75630,2238
75631,3137
75633,13779
75638,5908
75640,5020
75644,12579
75647,12459
75650,8858
75651,2192
75652,17061
75654,12299
75656,4601
75657,8139
75661,3043
75662,26009
75668,2005
75670,17537
75672,16252
75681,2299
75683,3811
75684,7750
75686,13047
75691,3006
75692,5078
75693,6973
75701,34876
75702,28270
75703,40868
75704,9974
75706,9793
75707,14565
75708,7709
75709,5046
75750,3695
75751,16715
75754,6506
75755,5150
75756,4873
75757,12166
75758,8100
75760,2429
75762,12986
75763,6286
75765,7751
75766,26671
75770,3364
75771,21078
75773,12927
75778,3167
75783,7559
75785,10909
75789,7501
75790,4600
75791,13268
75792,2562
75801,15615
75803,22903
75831,5746
75833,3462
75835,10924
75839,5192
75840,6950
75844,6340
75845,3208
75846,2875
75847,1783
75851,4834
75852,4889
75855,2463
75859,1657
75860,6415
75862,9863
75901,31647
75904,33820
75925,4099
75929,1860
75931,2189
75935,13955
75936,842
75938,2686
75939,4939
75941,8974
75944,1409
75946,3209
75948,6037
75949,7376
75951,16072
75954,3079
75956,8533
75961,15484
75964,19086
75965,18811
75966,5287
75968,1883
75969,3726
75972,6040
75974,3245
75975,3727
75976,806
75979,12384
75980,2500
76001,31829
76002,36569
76006,23259
76008,16334
76009,21049
76010,57813
76011,22953
76012,26571
76013,33169
76014,35235
76015,16464
76016,30808
76017,47010
76018,31416
76020,27714
76021,35903
76022,13059
76023,5930
76028,67388
76031,18050
76033,25190
76034,25557
76035,1466
76036,25736
76039,33750
76040,32301
76043,7509
76044,3799
76048,23702
76049,27889
76050,5747
76051,51685
76052,20779
76053,30567
76054,11948
76055,2643
76058,18068
76060,7638
76063,69146
76064,1790
76065,34291
76066,3193
76067,20561
76071,4069
76073,6155
76078,10366
76082,18030
76084,8456
76085,10747
76086,22311
76087,26889
76088,11854
76092,30138
76093,1680
76102,9803
76103,13689
76104,18199
76105,21661
76106,39218
76107,30110
76108,41418
76109,22448
76110,31118
76111,22456
76112,41448
76114,25647
76115,20485
76116,49789
76117,31298
76118,16318
76119,48380
76120,19041
76123,32131
76126,21355
76131,37868
76132,26405
76133,51022
76134,26581
76135,23845
76137,60065
76140,30643
76148,23819
76155,5289
76164,16091
76177,7907
76179,57204
76180,36385
76182,31227
76201,28038
76205,20992
76207,14221
76208,23463
76209,24667
76210,44044
76225,3313
76226,25037
76227,29616
76228,1027
76230,9538
76233,3490
76234,15341
76238,400
76240,27123
76244,74414
76245,1869
76247,14009
76248,39131
76249,8516
76252,2622
76255,5369
76258,6820
76259,4890
76262,34422
76265,1806
76266,15439
76270,1797
76271,1626
76272,4256
76273,9245
76301,15632
76302,13725
76305,4264
76306,15099
76308,19361
76309,12939
76310,17720
76351,1853
76354,12085
76360,3561
76364,143
76365,4395
76366,2102
76367,14963
76371,1557
76372,1409
76374,3917
76380,3633
76384,12385
76401,29478
76424,8794
76426,12453
76427,1021
76430,2428
76431,2931
76437,5401
76442,7496
76443,2316
76444,3472
76446,8105
76448,5224
76449,2427
76450,12885
76453,1357
76454,1560
76457,4102
76458,5913
76470,3820
76471,2275
76472,1507
76475,909
76476,2718
76483,972
76486,1040
76487,2704
76501,17571
76502,38571
76504,23368
76511,2869
76513,38124
76520,8124
76522,36581
76527,3886
76528,16708
76530,2190
76531,4632
76534,2927
76537,4921
76539,8530
76541,18447
76542,50324
76543,29256
76548,29595
76549,48970
76550,12517
76554,2285
76556,1281
76557,4783
76559,5534
76567,9098
76569,2250
76570,2909
76571,7200
76574,18939
76577,3311
76578,1422
76579,4672
76621,907
76627,1612
76629,1686
76633,5346
76634,7068
76635,1219
76636,1330
76637,629
76638,3081
76639,1341
76640,2816
76642,7025
76643,14253
76645,10477
76648,2762
76649,701
76651,3232
76653,902
76655,8530
76656,2440
76657,9663
76661,8108
76664,3494
76665,2399
76667,11261
76670,1524
76671,1792
76673,1620
76678,362
76681,676
76682,2702
76687,1934
76689,3715
76690,984
76691,6524
76692,10577
76693,1604
76701,1906
76704,7825
76705,30546
76706,36680
76707,16256
76708,27160
76710,24415
76711,9671
76712,25350
76801,24918
76802,5010
76821,4595
76823,3348
76825,6891
76834,5349
76837,2901
76844,3719
76849,3884
76853,1575
76856,3684
76859,1967
76861,1992
76875,551
76877,4187
76878,1920
76901,29879
76903,32103
76904,34828
76905,13129
76932,3744
76933,1344
76935,1736
76936,3122
76941,1430
76943,3693
76945,1647
76950,3915
76951,1139
77002,12370
77003,9646
77004,37642
77005,28233
77006,21945
77007,35822
77008,34491
77009,37751
77010,915
77011,18598
77012,20085
77013,20790
77014,35729
77015,57258
77016,29597
77017,32556
77018,28073
77019,21572
77020,25898
77021,26654
77022,27364
77023,28528
77024,38110
77025,28922
77026,22799
77027,16012
77028,15725
77029,17894
77030,10813
77031,18052
77032,14443
77033,29692
77034,40183
77035,38324
77036,76605
77037,20038
77038,30653
77039,27972
77040,48273
77041,35372
77042,42098
77043,25838
77044,42665
77045,36270
77046,1029
77047,29410
77048,17143
77049,33749
77050,5031
77051,16661
77053,31868
77054,22517
77055,45003
77056,21732
77057,40130
77058,16669
77059,17374
77060,44549
77061,26276
77062,26583
77063,38931
77064,49578
77065,38820
77066,33796
77067,33489
77068,10897
77069,18238
77070,51080
77071,27981
77072,62162
77073,42780
77074,39915
77075,43586
77076,35144
77077,57757
77078,15820
77079,33577
77080,45665
77081,49059
77082,56641
77083,79408
77084,104582
77085,17981
77086,29506
77087,37200
77088,56716
77089,52699
77090,38361
77091,25277
77092,38476
77093,44428
77094,9439
77095,72081
77096,35465
77098,13444
77099,51905
77301,31801
77302,19311
77303,19695
77304,28692
77306,11453
77316,21272
77318,15437
77320,35670
77327,22430
77328,15863
77331,7667
77335,2519
77336,12397
77338,40335
77339,41403
77340,29900
77345,29090
77346,63233
77351,33199
77354,35904
77355,27271
77356,25888
77357,24334
77358,5597
77360,5084
77362,5546
77363,2705
77364,1822
77365,31406
77371,8025
77372,12351
77373,58255
77375,50525
77377,36758
77378,16150
77379,78226
77380,26691
77381,36919
77382,40546
77384,16472
77385,23578
77386,53042
77388,45841
77389,31883
77396,54352
77401,19062
77406,41008
77407,48157
77414,23369
77417,2760
77418,9926
77419,1473
77420,2245
77422,13378
77423,11551
77426,2350
77429,86399
77430,2051
77433,75008
77434,4781
77435,4303
77437,16875
77441,9919
77442,922
77445,13301
77447,15246
77449,119204
77450,74631
77455,2026
77459,66175
77461,10752
77465,7269
77466,353
77469,46934
77471,38837
77474,12993
77477,36932
77478,25846
77479,88603
77480,7661
77482,2274
77484,10710
77485,4691
77486,7082
77488,14738
77489,36786
77493,29984
77494,105854
77498,51037
77502,39040
77503,26171
77504,23327
77505,24230
77506,37736
77510,14608
77511,46121
77514,4443
77515,31627
77517,5688
77518,10984
77520,36694
77521,57125
77523,21366
77530,31119
77531,16078
77532,28320
77534,2426
77535,32904
77536,32392
77538,906
77539,42607
77541,18525
77545,25036
77546,52261
77547,10077
77550,22070
77551,21203
77554,8249
77562,10665
77563,10067
77565,7233
77566,29441
77568,15640
77571,37374
77573,85108
77575,17005
77578,18636
77581,47625
77583,35308
77584,87121
77586,22182
77587,16901
77590,31084
77591,14073
77597,1210
77598,24689
77611,8325
77612,9134
77613,1048
77619,15775
77622,1464
77625,9691
77627,21198
77629,634
77630,28740
77632,23475
77640,15964
77642,38845
77650,1611
77651,12840
77656,16362
77657,21427
77659,4722
77660,1182
77662,26394
77665,6252
77701,13216
77702,3091
77703,14288
77705,40819
77706,29249
77707,17954
77708,12288
77713,14402
77801,16759
77802,26185
77803,30609
77807,10288
77808,10849
77830,2830
77831,3115
77833,29060
77836,12022
77840,59673
77845,59512
77853,1287
77856,5037
77859,7393
77864,6935
77865,1778
77868,17027
77871,2568
77872,1577
77879,5251
77901,43424
77904,27570
77905,14326
77951,2059
77954,12256
77957,8494
77962,3178
77963,5991
77964,8269
77968,3054
77975,1942
77977,747
77978,774
77979,17526
77983,2351
77984,3954
77990,864
77995,9847
78002,7904
78003,8958
78006,31709
78009,8910
78010,3401
78011,2030
78013,6574
78014,5616
78015,13897
78016,8895
78017,5514
78019,1505
78022,4286
78023,29872
78025,4523
78026,6094
78028,39626
78039,1528
78040,42324
78041,46671
78043,44762
78045,64705
78046,69471
78052,6838
78055,1945
78059,6131
78061,12595
78063,9936
78064,15966
78065,10181
78069,5874
78070,15559
78071,4510
78072,404
78073,9269
78076,13202
78101,6911
78102,28648
78108,35986
78109,40093
78112,8129
78113,2877
78114,22409
78118,3862
78119,7521
78121,12726
78123,2527
78124,5961
78130,70055
78132,26918
78133,18942
78140,3736
78146,559
78147,2156
78148,21456
78151,1529
78152,2155
78154,38293
78155,47469
78160,4424
78161,628
78163,10703
78164,3048
78201,47500
78202,12178
78203,6456
78204,12454
78205,1041
78207,54071
78208,4704
78209,41274
78210,37801
78211,31952
78212,28664
78213,43394
78214,26013
78215,2686
78216,41042
78217,33803
78218,35384
78219,16376
78220,16833
78221,40249
78222,24189
78223,54517
78224,21636
78225,13933
78226,6755
78227,49793
78228,62371
78229,32338
78230,45104
78231,8453
78232,38054
78233,47700
78237,37508
78238,25300
78239,28373
78240,58207
78242,33219
78244,30618
78245,72277
78247,52885
78248,14372
78249,56674
78250,60906
78251,58522
78252,10593
78253,41188
78254,56329
78255,14507
78257,6107
78258,45966
78259,25873
78260,27907
78263,5072
78264,10188
78266,6746
78332,28641
78336,11828
78340,461
78341,2100
78343,4374
78355,7309
78357,2912
78359,2056
78361,5357
78362,9907
78363,29963
78368,9620
78370,4718
78372,6233
78373,4084
78374,17661
78375,3055
78377,3770
78379,1576
78380,24126
78382,21537
78383,4077
78384,5635
78387,10062
78389,1623
78390,5197
78393,2130
78401,5445
78402,272
78404,18467
78405,15469
78407,3456
78408,12606
78409,2733
78410,27087
78411,26570
78412,39286
78413,40070
78414,38343
78415,40496
78416,15493
78417,4176
78418,31120
78501,64340
78503,22877
78504,53665
78516,35223
78520,62804
78521,92975
78526,47125
78535,678
78537,45606
78538,10912
78539,34991
78541,44387
78542,75822
78543,8886
78548,649
78550,52746
78552,38352
78557,13859
78558,1121
78559,12579
78560,4846
78562,4099
78566,18120
78567,521
78570,34560
78572,78770
78573,38420
78574,61238
78575,9762
78576,11044
78577,76821
78578,11727
78580,14943
78582,42644
78583,6820
78584,18757
78586,56086
78589,40709
78593,6114
78595,6330
78596,65013
78597,2856
78602,28027
78605,5955
78606,5552
78609,1948
78610,32692
78611,13016
78612,12484
78613,77779
78615,931
78616,7518
78617,27900
78620,15452
78621,22261
78624,21687
78626,32529
78628,30322
78629,12341
78631,2729
78633,24727
78634,29770
78636,3882
78639,8046
78640,52981
78641,60135
78642,11087
78643,5901
78644,18287
78645,10705
78648,7791
78650,1663
78652,4965
78653,20822
78654,18488
78655,3415
78656,2513
78657,5868
78659,3136
78660,85450
78662,2485
78663,913
78664,61361
78665,46109
78666,77355
78669,11375
78672,1248
78676,13231
78681,57234
78701,7875
78702,22876
78703,20788
78704,47158
78705,33075
78717,27764
78721,12447
78722,7254
78723,33170
78724,24833
78725,7517
78726,14610
78727,28999
78728,21245
78729,29434
78731,27447
78732,17762
78733,8754
78734,18722
78735,17919
78736,8199
78737,15879
78738,15746
78741,52307
78744,48432
78745,62220
78746,28268
78747,20954
78748,49142
78749,37453
78750,30758
78751,14949
78752,20302
78753,58693
78754,23858
78756,8377
78757,24059
78758,46618
78759,41847
78801,22156
78830,867
78832,3631
78834,8662
78839,9251
78840,48317
78850,1306
78852,55879
78861,13782
78872,1724
78873,1920
78881,2321
78932,583
78934,6238
78935,1509
78938,337
78940,2387
78941,2791
78942,8499
78944,521
78945,10107
78947,4605
78950,2000
78956,5518
78957,9310
78959,2047
78962,5200
79005,1653
79007,14415
79013,3707
79014,4119
79015,21576
79019,1756
79022,11488
79027,5090
79029,16010
79034,634
79035,4892
79036,5253
79040,1771
79041,3199
79045,19066
79046,636
79057,1595
79065,21082
79068,3043
79070,10183
79072,26829
79079,2696
79081,4065
79083,2155
79084,2384
79086,2283
79087,591
79088,5756
79092,985
79095,2699
79096,2231
79097,1037
79101,2185
79102,9586
79103,10880
79104,6727
79106,27883
79107,35188
79108,16479
79109,44211
79110,19242
79118,22279
79119,15884
79121,6582
79124,8720
79201,7066
79225,1075
79226,2967
79227,1454
79233,89
79235,3621
79241,2196
79244,753
79245,2467
79248,1442
79252,2996
79311,3615
79316,11510
79322,1927
79323,7367
79325,2492
79329,3216
79331,12742
79336,17229
79339,6624
79343,1653
79346,2251
79347,7212
79350,339
79355,1889
79356,6372
79357,2260
79358,1080
79359,2900
79360,15623
79363,5799
79364,7710
79370,1572
79372,1191
79373,2903
79382,7122
79401,7909
79403,17401
79404,10347
79407,21028
79410,9583
79411,7894
79412,17141
79413,22149
79414,18150
79415,17343
79416,33302
79423,37960
79424,45948
79501,2959
79504,3157
79505,314
79508,1403
79510,7056
79511,1278
79512,7907
79520,2219
79521,3795
79525,2261
79526,835
79529,1378
79536,4593
79543,1236
79545,1913
79547,771
79549,16236
79553,3279
79556,12915
79562,3805
79563,1052
79567,3517
79601,28041
79602,24027
79603,23577
79605,29672
79606,23929
79701,29315
79703,23083
79705,39818
79706,25344
79707,38489
79714,17577
79718,894
79720,35231
79731,4767
79734,2129
79735,13383
79739,1149
79742,494
79744,1466
79745,6842
79752,2473
79756,9622
79761,33922
79762,44014
79763,37282
79764,22105
79765,13451
79766,6519
79772,13569
79778,903
79782,4521
79788,469
79789,908
79821,7269
79830,7802
79835,11835
79836,5889
79838,6719
79843,2298
79845,4785
79855,2208
79901,10284
79902,20123
79903,16495
79904,34098
79905,23108
79906,5125
79907,53505
79912,81159
79915,35622
79922,8528
79924,59587
79925,39455
79927,41162
79928,56851
79930,28324
79932,28345
79934,25846
79935,18166
79936,111918
79938,77487
